1,CMT2,CMI2,PIBR0.PIR1
2,CMT3,CMI3,PIBR0.PIR2
3,TMR0,CMIA0,PIBR0.PIR3
4,TMR0,CMIB0,PIBR0.PIR4
5,TMR0,OVI0,PIBR0.PIR5
6,TMR1,CMIA1,PIBR0.PIR6
7,TMR1,CMIB1,PIBR0.PIR7
8,TMR1,OVI1,PIBR1.PIR0
9,TMR2,CMIA2,PIBR1.PIR1
10,TMR2,CMIB2,PIBR1.PIR2
11,TMR2,OVI2,PIBR1.PIR3
12,TMR3,CMIA3,PIBR1.PIR4
13,TMR3,CMIB3,PIBR1.PIR5
14,TMR3,OVI3,PIBR1.PIR6
15,TPU0,TGI0A,PIBR1.PIR7
16,TPU0,TGI0B,PIBR2.PIR0
17,TPU0,TGI0C,PIBR2.PIR1
18,TPU0,TGI0D,PIBR2.PIR2
19,TPU0,TCI0V,PIBR2.PIR3
20,TPU1,TGI1A,PIBR2.PIR4
21,TPU1,TGI1B,PIBR2.PIR5
22,TPU1,TCI1V,PIBR2.PIR6
23,TPU1,TCI1U,PIBR2.PIR7
24,TPU2,TGI2A,PIBR3.PIR0
25,TPU2,TGI2B,PIBR3.PIR1
26,TPU2,TCI2V,PIBR3.PIR2
27,TPU2,TCI2U,PIBR3.PIR3
28,TPU3,TGI3A,PIBR3.PIR4
29,TPU3,TGI3B,PIBR3.PIR5
30,TPU3,TGI3C,PIBR3.PIR6
31,TPU3,TGI3D,PIBR3.PIR7
32,TPU3,TCI3V,PIBR4.PIR0
33,TPU4,TGI4A,PIBR4.PIR1
34,TPU4,TGI4B,PIBR4.PIR2
35,TPU4,TCI4V,PIBR4.PIR3
36,TPU4,TCI4U,PIBR4.PIR4
37,TPU5,TGI5A,PIBR4.PIR5
38,TPU5,TGI5B,PIBR4.PIR6
39,TPU5,TCI5V,PIBR4.PIR7
40,TPU5,TCI5U,PIBR5.PIR0
41,CMTW0,IC0I0,PIBR5.PIR1
42,CMTW0,IC1I0,PIBR5.PIR2
43,CMTW0,OC0I0,PIBR5.PIR3
44,CMTW0,OC1I0,PIBR5.PIR4
45,CMTW0,CMTW1,PIBR5.PIR5
46,CMTW0,IC1I1,PIBR5.PIR6
47,CMTW0,OC0I1,PIBR5.PIR7
48,CMTW0,OC1I1,PIBR6.PIR0
49,RTC,CUP,PIBR6.PIR1
50,CAN0,RXF0,PIBR6.PIR2
51,CAN0,TXF0,PIBR6.PIR3
52,CAN0,RXM0,PIBR6.PIR4
53,CAN0,TXM0,PIBR6.PIR5
54,CAN1,RXF1,PIBR6.PIR6
55,CAN1,TXF1,PIBR6.PIR7
56,CAN1,RXM1,PIBR7.PIR0
57,CAN1,TXM1,PIBR7.PIR1
58,CAN2,RXF2,PIBR7.PIR2
59,CAN2,TXF2,PIBR7.PIR3
60,CAN2,RXM2,PIBR7.PIR4
61,CAN2,TXM2,PIBR7.PIR5
62,USB0,USBI0,PIBR7.PIR6
64,S12AD,S12ADI,PIBR8.PIR0
65,S12AD,S12GBADI,PIBR8.PIR1
68,S12AD1,S12ADI1,PIBR8.PIR4
69,S12AD1,S12GBADI1,PIBR8.PIR5
73,DES,DESEND,PIBR9.PIR1
74,SHA,SHADEND,PIBR9.PIR2
75,SHA,SHAEND,PIBR9.PIR3
76,RNG,RNGEND,PIBR9.PIR4
79,ELC,ELSR18I,PIBR9.PIR7
80,ELC,ELSR19I,PIBRA.PIR0
